name,price,category,Description
WordPress Package A (per page),300,oneshot,"Website Build: 
- Website built using a premium, professionally designed template
- Colours, fonts, and layout adjusted to match your brand identity
- Stock images integrated to match tone and aesthetic
- Editable sections so you can update text & images without coding
- Fully mobile responsive and cross-browser compatible
- Speed optimization (image compression, caching setup, template performance tuning)

Content Writing + SEO Optimization:
- You provide us the key points / raw messaging, and we:
- Write all website copy (clear, persuasive, on-brand, and structured for conversions)
- Perform Keyword Research for your industry

Create SEO-optimized:
- Meta titles
- Meta descriptions
- On-page headers (H1, H2 structure)
- CTA phrasing
- Write messaging that guides the reader to take action
- Ensure tone and voice match your brand positioning

(Client only needs to provide bullet points, business information, and unique selling points — we handle the full writing and optimization.)

Basic SEO Setup (Technical):
- Semantic code structure for improved crawlability
- Clean URL structure
- Image alt text + compression
- SSL setup (HTTPS)
- XML sitemap + robots.txt configuration
- Google Analytics integration
- Google Search Console setup
- Blog page created (empty, ready for posting)

Client Responsibilities:
- Domain & hosting setup costs
- Any paid plugins required for special features
- Provide key business points and service information for each page
- Provide branding assets (logo, brand colours, fonts)
- Provide page requirements (e.g., Home, About, Services, Contact)"
WordPress Package B (per page),150,oneshot,"- Website built using a premium, professionally designed template
- Stock images integrated to match branding and design
- Editable sections: Client can update text and images without coding knowledge
- Mobile responsive & cross-browser compatible design
- Fast loading speed optimization (template adjustments, caching, compression)

Basic SEO Setup:
- Semantic code structure for crawlability
- Optimized URL structure- Image alt text & compression
- Meta titles & descriptions (client to provide, or available via Keyword Research
Package)
- SSL setup (HTTPS ready)
- XML sitemap & robots.txt setup
- Analytics & Blog
- Blog page setup (blank, ready for publishing — articles not included)
- Google Analytics & Google Search Console integration

Exclusions / Client Responsibilities:
- Domain, hosting, server, SSL certificates, and email setup costs
- Ongoing plugin costs (if template or functionality requires paid plugins)
- All website content (unless content creation is purchased separately)
- Provide all key points & messaging for each page
- Purchase Keyword Research Package if keyword-optimized SEO metadata is required"
Wordpress Package C (per page),75,oneshot,"What’s Included:
- Website built using a premium, professionally designed template
- Template colours, fonts and layout adjusted to match your brand
- Stock images included to support visual style
- You will be able to edit text and images yourself (no coding required)
- Mobile responsive and works across all major browsers
- Basic speed optimisation (image compression, caching setup)

Basic SEO Setup:
- SEO-friendly page structure
- Clean URL structure
- Image alt text + compression
- Meta titles & descriptions setup (based on the text you provide)
- Sitemap + robots.txt submitted to Google
- Google Analytics & Search Console linked

Important Notes:
This package uses a pre-built design template.
This means:
- You must provide all written content for each page (Unless content writing is purchased as an add-on)
- Turnaround time is longer than our custom packages, because we will be fitting your content into the template layout.
- If you want faster turnaround time, or if you prefer us to handle the content writing, consider upgrading to Package B or adding our Copywriting Add-On.

Client Responsibilities:
- Provide all text & messaging for the website pages
- Provide branding assets (logo, colours)
- Provide domain & hosting login
- Cover any paid plugins or integrations (if needed)"
Custom-coded Package A (per page),400,oneshot,"Custom Design & Development:
- Fully custom website coded from scratch, no templates used
- Unique design built to match your brand identity, style, and goals
- Hand-coded front-end for maximum performance and flexibility
- Clean, lightweight structure for fast loading
- Mobile responsive and cross-browser compatible (Chrome, Safari, Edge, Firefox)
- Scalable backend ready for future expansions (CMS, booking system, etc.)
- Basic performance optimization (image compression, caching, and code minification)

Content Copywriting + SEO Optimization:
- Client provides key points and main ideas, and we handle everything else:
- We write all website copy (Home, About, Services, etc.)
- Define brand tone, voice, and key messaging

Write SEO-optimized:
- Meta titles & descriptions
- Headings (H1, H2)
- CTAs and body copy structured for conversions
- Ensure content communicates authority, clarity, and brand story effectively
 
Technical SEO Setup:
- SEO-friendly HTML structure
- Clean URL architecture
- Image alt text + compression
- Meta title & description fields (client to provide)
- Google Analytics + Search Console integration
- XML sitemap & robots.txt configuration
- SEO-friendly code & structure
- Fast-loading site with optimized assets
- Google Analytics + Search Console linked
- XML sitemap + robots.txt submitted to Google

Client Responsibilities:
- Provide all website text/copy
- Provide brand assets (logo, fonts, colours)
- Provide hosting & domain access
- Cover paid plugin or integration costs (if required)"
Custom-coded Package B (per page),200,oneshot,"Custom Design & Development:
- Fully custom website coded from scratch, no templates used
- Unique design built to match your brand identity, style, and goals
- Hand-coded front-end for maximum performance and flexibility
- Clean, lightweight structure for fast loading
- Mobile responsive and cross-browser compatible (Chrome, Safari, Edge, Firefox)
- Scalable backend ready for future expansions (CMS, booking system, etc.)
- Basic performance optimization (image compression, caching, and code minification)

Basic SEO Setup:
- SEO-friendly HTML structure
- Clean URL architecture
- Image alt text + compression
- Meta title & description fields (client to provide)
- Google Analytics + Search Console integration
- XML sitemap & robots.txt configuration

Client Responsibilities:
- Provide all website text/copy
- Provide brand assets (logo, fonts, colours)
- Provide hosting & domain access
- Cover paid plugin or integration costs (if required)"
Keyword Analysis Package,2000,oneshot,"- 1-hour discovery meeting with client to understand the business and discover
keywords customers are likely to use
- Keyword research including monthly search
volumes and trends
- On-page SEO guidelines (basic, non-technical) provided for client’s web developer
- 2 keyword-optimised meta title options (under 60 characters)
- 2 keyword-optimised meta description options (under 160 characters)
- Guidelines for writing H1 and H2 headings
- Guidelines for weaving keywords naturally into website content

Bonus: 2 advanced SEO tips most marketing “professionals” don’t know about

Turnaround time: 1 week"
SEO Audit,250,oneshot,"- Check the website for SEO errors made by the developer and identify areas for improvement.

Turnaround time: 3 days"
Organic Social Media Management (1 platform only),500,subscription,"- 4 posts per month (client provides graphics or website assets)
- Caption writing tailored to brand voice and marketing goals
- Hashtag research and implementation to maximize reach and engagement
- Scheduling and posting of all content on the chosen platform
- Basic performance check and feedback (optional summary report)"
Organic Social Media Management (4 platform only),1000,subscription,"- 4 posts per month (client provides graphics or website assets)
- Cross-Posted to (YouTube Shorts, Facebook, Instagram and TikTok)
- Caption writing tailored to brand voice and marketing goals (One set of captions for YouTube Shorts and TikTok and another set of captions for Facebook and Instagram)
- Hashtag research and implementation to maximize reach and engagement
- Scheduling and posting of all content on the chosen platform
- Basic performance check and feedback (optional summary report)"
Social Media Ads Management - 1 platform (Facebook & Instagram or TikTok Ads),2000,subscription,"- Up to 5 Campaigns
- Setup of ad using multiple creatives
- Copywriting
- Lead Generation
- Appointment setting AND/OR Pixels Tracking
- A/B Testing for ad
- Up to $20,000/month in ad budget management

Not included:
- Ad Budget"
